population,income,homeval,rentval,district,statefull,abbr,label,gopvi,sqrmiles,density,white
721048,44994,196940,680,6,Indiana,IN,IN-6,12,6206.83,116,0.9344079728395336
736200,37867,148926,747,7,Indiana,IN,IN-7,-13,303.84,2422,0.602985601738658
721929,46160,199387,663,8,Indiana,IN,IN-8,8,7255.39,99,0.9248776541737485
730316,49426,193761,752,9,Indiana,IN,IN-9,9,4486.77,162,0.921958439908204
766577,52197,225194,643,1,Iowa,IA,IA-1,-5,12048.84,63,0.9211299060629264
769113,49843,215334,678,2,Iowa,IA,IA-2,-4,12261.92,62,0.9085036919152322
780488,56768,217463,755,3,Iowa,IA,IA-3,0,8789.62,88,0.8961239634690091
760341,47931,222619,608,4,Iowa,IA,IA-4,5,22756.75,33,0.9318700425203954
720915,45276,183114,652,1,Kansas,KS,KS-1,23,52542.5,13,0.8844815269483921
714295,47431,184895,705,2,Kansas,KS,KS-2,8,14143.34,50,0.8779327868737706
731209,64341,189203,876,3,Kansas,KS,KS-3,6,757.2,965,0.8167377589717851
716547,48808,182671,689,4,Kansas,KS,KS-4,14,14315.68,50,0.8373923831932867
724590,38025,197332,570,1,Kentucky,KY,KY-1,18,12079.5,59,0.8976359044425123
734009,44716,194260,640,2,Kentucky,KY,KY-2,16,7177.44,102,0.8984440245283096
732544,46049,182972,723,3,Kentucky,KY,KY-3,-4,319.34,2293,0.7276382033024638
733183,54255,195298,718,4,Kentucky,KY,KY-4,16,4382.19,167,0.9237189078306508
717238,30674,198818,537,5,Kentucky,KY,KY-5,25,11235.15,63,0.9683438412354058
739071,45022,178264,697,6,Kentucky,KY,KY-6,9,4292.72,172,0.8527638075367591
769630,53066,201208,897,1,Louisiana,LA,LA-1,26,4030.23,190,0.8031027896521705
772514,35423,159583,834,2,Louisiana,LA,LA-2,-23,1268.48,609,0.3136176172859003
764129,44650,200324,692,3,Louisiana,LA,LA-3,19,6983.32,109,0.7072627789286887
762185,41375,188638,692,4,Louisiana,LA,LA-4,13,12435.1,61,0.6130886858177477
758015,34911,180480,614,5,Louisiana,LA,LA-5,15,14452.88,52,0.6200339043422624
774460,56126,206087,843,6,Louisiana,LA,LA-6,21,4033.89,191,0.7157774449293701
668113,53117,194974,856,1,Maine,ME,ME-1,-9,3285.52,203,0.9463668571035141
660104,41965,196504,683,2,Maine,ME,ME-2,-2,27557.4,23,0.9547147116211991
724648,67161,204886,978,1,Maryland,MD,MD-1,14,3977.06,182,0.8300636998929135
735103,60429,170782,1104,2,Maryland,MD,MD-2,-10,348.88,2107,0.5698221881831526
731332,76241,180926,1270,3,Maryland,MD,MD-3,-9,304.14,2404,0.6514360099106835
737812,72990,163229,1235,4,Maryland,MD,MD-4,-26,297.81,2477,0.3201371080979979
738847,89631,191536,1398,5,Maryland,MD,MD-5,-14,1481.24,498,0.5307255764725308
741402,72021,184591,1205,6,Maryland,MD,MD-6,-4,1950.26,380,0.6925487117650074
725387,53336,151561,997,7,Maryland,MD,MD-7,-24,488.03,1486,0.3562002076133154
750109,94476,187377,1509,8,Maryland,MD,MD-8,-11,859.85,872,0.6894771293238716
729781,51358,185364,788,1,Massachusetts,MA,MA-1,-13,2350.29,310,0.8319632876164219
736220,61566,173166,917,2,Massachusetts,MA,MA-2,-8,1628.0,452,0.8551601423487545
739063,66579,173860,991,3,Massachusetts,MA,MA-3,-6,757.86,975,0.7684906428815946
737702,84056,191811,1109,4,Massachusetts,MA,MA-4,-6,668.27,1103,0.8828185364822109
742861,80814,171872,1325,5,Massachusetts,MA,MA-5,-14,265.08,2802,0.7934728031219838
742624,77279,193007,1117,6,Massachusetts,MA,MA-6,-4,526.79,1409,0.8661179816434696
745297,50983,93469,1246,7,Massachusetts,MA,MA-7,-31,62.67,11892,0.5122588712956043
744449,73465,178801,1243,8,Massachusetts,MA,MA-8,-6,326.37,2280,0.7872762271156251
730141,60399,206881,882,9,Massachusetts,MA,MA-9,-5,1214.74,601,0.9048553635530672
705172,42299,227138,636,1,Michigan,MI,MI-1,5,25027.75,28,0.9252664598140596
711835,47729,194743,712,2,Michigan,MI,MI-2,7,3281.19,216,0.865718881482366
714507,50381,192935,735,3,Michigan,MI,MI-3,4,2628.74,271,0.8478447377002605
703410,43262,208197,679,4,Michigan,MI,MI-4,5,8457.8,83,0.9398117740720204
695505,40286,198113,680,5,Michigan,MI,MI-5,-10,2348.7,296,0.776878670893811
708717,45848,195931,685,6,Michigan,MI,MI-6,1,3546.74,199,0.8520467266906254
