Sta,CD,label,pvi,Winner12,Margin12,Romney12,Obama12,Winner08,Margin08,McCain08,Obama08
MA,8,MA-8,D+6,Obama,-17,41,58,Obama,-17,39,59
MA,9,MA-9,D+5,Obama,-12,43,55,Obama,-17,41,58
MD,1,MD-1,R+14,Romney,-23,61,37,McCain,-21,60,39
MD,2,MD-2,D+10,Obama,-28,35,63,Obama,-23,38,61
MD,3,MD-3,D+9,Obama,-25,37,61,Obama,-22,38,60
MD,4,MD-4,D+26,Obama,-57,21,78,Obama,-56,22,77
MD,5,MD-5,D+14,Obama,-34,32,66,Obama,-32,34,65
MD,6,MD-6,D+4,Obama,-12,43,55,Obama,-14,42,56
MD,7,MD-7,D+24,Obama,-53,23,76,Obama,-54,23,77
MD,8,MD-8,D+11,Obama,-27,36,62,Obama,-27,36,63
ME,1,ME-1,D+9,Obama,-21,38,59,Obama,-24,37,61
ME,2,ME-2,D+2,Obama,-9,44,53,Obama,-11,44,54
MI,1,MI-1,R+5,Romney,-8,54,45,Obama,-1,48,50
MI,10,MI-10,R+6,Romney,-12,55,44,McCain,-2,50,48
MI,11,MI-11,R+4,Romney,-5,52,47,Obama,-2,48,50
MI,12,MI-12,D+15,Obama,-34,33,66,Obama,-36,31,67
MI,13,MI-13,D+34,Obama,-71,14,85,Obama,-74,13,86
MI,14,MI-14,D+29,Obama,-62,19,81,Obama,-63,18,81
MI,2,MI-2,R+7,Romney,-13,56,43,McCain,-2,50,48
MI,3,MI-3,R+4,Romney,-7,53,46,Obama,-1,49,50
MI,4,MI-4,R+5,Romney,-8,53,45,Obama,-1,49,50
MI,5,MI-5,D+10,Obama,-22,38,61,Obama,-28,35,63
MI,6,MI-6,R+1,Romney,-1,50,49,Obama,-8,45,53
MI,7,MI-7,R+3,Romney,-3,51,48,Obama,-3,47,51
MI,8,MI-8,R+2,Romney,-3,51,48,Obama,-6,46,52
MI,9,MI-9,D+6,Obama,-15,42,57,Obama,-18,40,58
MN,1,MN-1,R+1,Obama,-1,48,49,Obama,-4,47,51
MN,2,MN-2,R+2,Obama,0,49,49,Obama,-3,48,50
MN,3,MN-3,R+2,Obama,-1,49,50,Obama,-4,47,51
MN,4,MN-4,D+11,Obama,-27,35,62,Obama,-27,36,63
MN,5,MN-5,D+22,Obama,-49,24,73,Obama,-49,25,73
MN,6,MN-6,R+10,Romney,-15,56,41,McCain,-12,55,43
MN,7,MN-7,R+6,Romney,-10,54,44,McCain,-3,50,47
MN,8,MN-8,D+1,Obama,-6,46,52,Obama,-9,45,53
MO,1,MO-1,D+28,Obama,-61,19,80,Obama,-62,19,80
MO,2,MO-2,R+8,Romney,-16,57,42,McCain,-6,53,47
MO,3,MO-3,R+13,Romney,-26,62,36,McCain,-13,56,43
MO,4,MO-4,R+13,Romney,-25,61,36,McCain,-15,57,42
MO,5,MO-5,D+9,Obama,-20,39,59,Obama,-25,37,62
MO,6,MO-6,R+12,Romney,-22,60,38,McCain,-12,55,43
MO,7,MO-7,R+19,Romney,-37,68,30,McCain,-28,63,35
MO,8,MO-8,R+17,Romney,-34,66,32,McCain,-22,60,38
MS,1,MS-1,R+16,Romney,-25,62,37,McCain,-26,62,37
MS,2,MS-2,D+13,Obama,-33,33,66,Obama,-29,35,64
MS,3,MS-3,R+14,Romney,-21,60,39,McCain,-22,61,38
MS,4,MS-4,R+21,Romney,-36,68,31,McCain,-37,68,31
MT,1,MT-1,R+7,Romney,-14,55,42,McCain,-2,50,47
NC,1,NC-1,D+19,Obama,-47,26,73,Obama,-42,29,71
NC,10,NC-10,R+11,Romney,-17,58,41,McCain,-15,57,42
NC,11,NC-11,R+13,Romney,-23,61,38,McCain,-18,58,40
NC,12,NC-12,D+26,Obama,-58,21,79,Obama,-57,21,78
NC,13,NC-13,R+8,Romney,-13,56,43,McCain,-9,54,45
NC,2,NC-2,R+10,Romney,-16,58,41,McCain,-12,56,43
NC,3,NC-3,R+11,Romney,-19,59,40,McCain,-13,56,43
NC,4,NC-4,D+20,Obama,-46,27,72,Obama,-45,27,72
NC,5,NC-5,R+11,Romney,-19,59,40,McCain,-15,57,42
NC,6,NC-6,R+10,Romney,-17,58,41,McCain,-12,56,43
NC,7,NC-7,R+12,Romney,-19,59,40,McCain,-16,58,42
NC,8,NC-8,R+11,Romney,-17,58,41,McCain,-16,57,42
NC,9,NC-9,R+8,Romney,-14,56,43,McCain,-9,54,45
ND,1,ND-1,R+10,Romney,-20,58,39,McCain,-9,53,45
NE,1,NE-1,R+10,Romney,-17,57,41,McCain,-10,54,44
NE,2,NE-2,R+4,Romney,-7,53,46,Obama,-1,49,50
NE,3,NE-3,R+23,Romney,-42,70,28,McCain,-36,67,31
NH,1,NH-1,R+1,Obama,-2,48,50,Obama,-6,46,53
NH,2,NH-2,D+3,Obama,-10,44,54,Obama,-13,43,56
NJ,1,NJ-1,D+13,Obama,-32,34,66,Obama,-31,34,65
NJ,10,NJ-10,D+34,Obama,-77,12,88,Obama,-70,15,85
NJ,11,NJ-11,R+6,Romney,-6,53,47,McCain,-5,52,47
NJ,12,NJ-12,D+14,Obama,-35,33,67,Obama,-33,33,66
NJ,2,NJ-2,D+1,Obama,-8,46,54,Obama,-8,45,53
NJ,3,NJ-3,R+1,Obama,-5,48,52,Obama,-3,48,51
NJ,4,NJ-4,R+7,Romney,-10,55,45,McCain,-9,54,45
NJ,5,NJ-5,R+4,Romney,-3,52,49,McCain,-2,51,48
NJ,6,NJ-6,D+8,Obama,-24,38,62,Obama,-18,41,58
NJ,7,NJ-7,R+6,Romney,-6,53,47,McCain,-5,52,47
NJ,8,NJ-8,D+24,Obama,-58,21,79,Obama,-48,26,73
NJ,9,NJ-9,D+14,Obama,-38,31,69,Obama,-29,35,64
NM,1,NM-1,D+7,Obama,-16,40,55,Obama,-21,39,60
NM,2,NM-2,R+5,Romney,-7,52,45,McCain,-2,50,48
NM,3,NM-3,D+8,Obama,-19,39,58,Obama,-24,38,61
NV,1,NV-1,D+14,Obama,-33,32,65,Obama,-32,33,65
NV,2,NV-2,R+5,Romney,-8,53,45,Obama,-1,48,49
NV,3,NV-3,R+0,Obama,-1,49,49,Obama,-9,45,54
NV,4,NV-4,D+4,Obama,-11,44,54,Obama,-15,41,56
NY,1,NY-1,R+2,Obama,-1,49,50,Obama,-4,48,51
NY,10,NY-10,D+23,Obama,-49,25,74,Obama,-53,23,76
NY,11,NY-11,R+2,Obama,-4,47,52,McCain,-3,51,48
NY,12,NY-12,D+27,Obama,-55,22,77,Obama,-62,19,80
NY,13,NY-13,D+42,Obama,-90,5,95,Obama,-88,6,93
NY,14,NY-14,D+26,Obama,-62,18,81,Obama,-53,23,76
