label,year,dem_cand,dem_per,gop_cand,gop_per
OR-3,2012,Blumenauer,74.6,Green,19.9
OR-4,2012,DeFazio,59.1,Robinson,39.2
OR-5,2012,Schrader,54.1,Thompson,42.6
PA-1,2012,Brady,85,Featherman,15
PA-10,2012,Scollo,34.1,Marino,65.9
PA-11,2012,Stilp,41.5,Barletta,58.5
PA-12,2012,Critz,48.2,Rothfus,51.8
PA-13,2012,Schwartz,68.9,Rooney,31.1
PA-14,2012,Doyle,76.9,Lessmann,23.1
PA-15,2012,Daugherty,43.3,Dent,56.7
PA-16,2012,Strader,38.9,Pitts,55
PA-17,2012,Cartwright,60.5,Cummings,39.5
PA-18,2012,Maggi,36,Murphy,64
PA-2,2012,Fattah,89.4,Mansfield,9.4
PA-3,2012,Eaton,41.1,Kelly,54.7
PA-4,2012,Perkinson,34.4,Perry,59.7
PA-5,2012,Dumas,37.1,Thompson,62.9
PA-6,2012,Trivedi,43,Gerlach,57
PA-7,2012,Badey,40.5,Meehan,59.5
PA-8,2012,Boockvar,43.4,Fitzpatrick,56.6
PA-9,2012,Ramsburg,38.4,Shuster,61.6
RI-1,2012,Cicilline,52.4,Doherty,41.5
RI-2,2012,Langevin,55.7,Riley,35.2
SC-1,2012,Rose,35.4,Scott,62.4
SC-2,2012,None,0,Wilson,0
SC-3,2012,Doyle,33.3,Duncan,66.7
SC-4,2012,Morrow,33.8,Gowdy,65
SC-5,2012,Knott,44.4,Mulvaney,55.6
SC-6,2012,Clyburn,94.4,None,0
SC-7,2012,Tinubu,45.1,Rice,54.9
SD-1,2012,Varilek,42.5,Noem,57.5
TN-1,2012,Woodruff,19.9,Roe,76.1
TN-2,2012,Goodale,20.5,Duncan,74.5
TN-3,2012,Headrick,35.5,Fleischmann,61.5
TN-4,2012,Stewart,44.2,DesJarlais,55.8
TN-5,2012,Cooper,65.2,Staats,32.8
TN-6,2012,None,0,Black,76.6
TN-7,2012,Amouzouvik,24,Blackburn,71
TN-8,2012,Dixon,28.4,Fincher,68.3
TN-9,2012,Cohen,75.1,Flinn,23.8
TX-1,2012,McKellar,26.6,Gohmert,71.7
TX-10,2012,Cadien,36.2,McCaul,60.6
TX-11,2012,Riley,18.6,Conaway,78.6
TX-12,2012,Robinson,26.7,Granger,70.9
TX-13,2012,None,0,Thornberry,91
TX-14,2012,Lampson,44.6,Weber,53.5
TX-15,2012,Hinojosa,60.9,Brueggemann,36.8
TX-16,2012,O'Rourke,65.5,Carrasco,32.8
TX-17,2012,None,0,Flores,79.9
TX-18,2012,Jackson Lee,75,Seibert,22.6
TX-19,2012,None,0,Neugebauer,85
TX-2,2012,Dougherty,32.7,Poe,64.8
TX-20,2012,Castro,64,Rosa,33.4
TX-21,2012,Duval,35.4,Smith,60.6
TX-22,2012,Rogers,31.9,Olson,64.1
TX-23,2012,Gallego,50.3,Canseco,45.5
TX-24,2012,Rusk,36,Marchant,61
TX-25,2012,Henderson,37.4,Williams,58.5
TX-26,2012,Sanchez,28.6,Burgess,68.3
TX-27,2012,Harrison,39.2,Farenthold,56.7
TX-28,2012,Cuellar,67.9,Hayward,29.7
TX-29,2012,Green,90,None,0
TX-3,2012,None,0,Johnson,100
TX-30,2012,Johnson,78.9,Washington,19
TX-31,2012,Wyman,35,Carter,61.3
TX-32,2012,McGovern,39.4,Sessions,58.3
TX-33,2012,Veasey,72.5,Bradley,25.7
TX-34,2012,Vela,62.2,Bradshaw,35.9
TX-35,2012,Doggett,64,Narvaiz,32
TX-36,2012,Martin,26.6,Stockman,70.8
TX-4,2012,Hathcox,24.1,Hall,73
TX-5,2012,Mrosko,33.2,Hensarling,64.4
TX-6,2012,Sanders,39.2,Barton,58
TX-7,2012,Cargas,36.4,Culberson,60.8
TX-8,2012,Burns,20.3,Brady,77.4
TX-9,2012,Green,78.5,Mueller,19.7
UT-1,2012,McAleer,24.7,Bishop,71.5
UT-2,2012,Seegmiller,33.6,Stewart,62.3
UT-3,2012,Simonsen,23.6,Chaffetz,76.4
UT-4,2012,Matheson,49.3,Love,48.1
VA-1,2012,Cook,41,Wittman,56.1
VA-10,2012,Cabral,38.4,Wolf,58.8
VA-11,2012,Connolly,61,Perkins,35.5
VA-2,2012,Hirschbiel,46.2,Rigell,53.8
VA-3,2012,Scott,81.2,Longo,18.8
VA-4,2012,Ward,42.9,Forbes,57.1
VA-5,2012,Douglass,43.2,Hurt,55.3
VA-6,2012,Schmookler,34.4,Goodlatte,65.6
VA-7,2012,Powell,41.4,Cantor,58.6
VA-8,2012,Moran,64.6,Murray,30.7
VA-9,2012,Flaccavento,38.8,Griffith,61.2
VT-1,2012,Welch,72,Donka,23.2
WA-1,2012,DelBene,53.6,Koster,46.4
WA-10,2012,Heck,58.2,Muri,41.8
WA-2,2012,Larsen,60.9,Matthews,39.1
WA-3,2012,Haugen,39.9,Herrera Beutler,60.1
WA-4,2012,Baechler,33.3,Hastings,66.7
WA-5,2012,Cowan,37.9,McMorris Rodgers,62.1
WA-6,2012,Kilmer,59,Driscoll,41
WA-7,2012,McDermott,79.5,Bemis,20.5
WA-8,2012,Porterfield,40.1,Reichert,59.9
WA-9,2012,Smith,71.4,Postma,28.6
WI-1,2012,Zerban,43.4,Ryan,54.9
WI-2,2012,Pocan,68,Lee,32
WI-3,2012,Kind,64.1,Boland,35.9
WI-4,2012,Moore,72.3,Sebring,24.8
WI-5,2012,Heaster,32.1,Sensenbrenner,67.9
WI-6,2012,Kallas,37.9,Petri,62.1
WI-7,2012,Kreitlow,43.9,Duffy,56.1
WI-8,2012,Wall,44.1,Ribble,55.9
WV-1,2012,Thorn,37.5,McKinley,62.5
WV-2,2012,Swint,30.2,Capito,69.8
WV-3,2012,Rahall,53.9,Snuffer,46.1
WY-1,2012,Henrichsen,23.8,Lummis,69.1
AK-1,2014,Dunbar,40.8,Young,51.6
AL-1,2014,LeFlore,31.7,Byrne,68.3
AL-2,2014,Wright,33.9,Roby,66.1
AL-3,2014,Smith,34.4,Rogers,65.6
AL-4,2014,None,0,Aderholt,100
AL-5,2014,Brooks,74.8,Bray,25.2
AL-6,2014,Lester,23.7,Palmer,76.3
AL-7,2014,Sewell,100,None,0
AR-1,2014,McPherson,32.4,Crawford,63.2
AR-2,2014,Hays,43.6,Hill,51.9
AR-3,2014,Womack,79.4,Brand,20.6
AR-4,2014,Witt,42.6,Westerman,53.7
AZ-1,2014,Kirkpatrick,52.5,Tobin,47.5
AZ-2,2014,Barber,50,McSally,50
AZ-3,2014,Grijalva,55.6,Saucedo Mercer,44.4
AZ-4,2014,Weisser,25.8,Gosar,70
AZ-5,2014,Woods,30.4,Salmon,69.6
AZ-6,2014,Williamson,35.1,Schweikert,64.9
AZ-7,2014,Gallego,75,Penalosa,4.8
AZ-8,2014,None,0,Franks,75.8
AZ-9,2014,Sinema,54.7,Rogers,41.9
CA-1,2014,Hall,38.1,La Malfa,61.9
CA-10,2014,Eggman,43.6,Denham,56.4
CA-11,2014,DeSaulnier,66.9,Phan,33.1
CA-12,2014,Pelosi,83.1,Dennis,16.9
CA-13,2014,Lee,88.4,Sundeen,11.6
CA-14,2014,Speier,76.2,Chew,23.8
CA-15,2014,Swalwell,69.8,Bussell,30.2
CA-16,2014,Costa,50.7,Tacherra,49.3
CA-17,2014,Honda,51.8,Khanna,48.2
CA-18,2014,Eshoo,67.4,Fox,32.6
CA-19,2014,Murray,32.5,Lofgren,67.5
CA-2,2014,Huffman,73.9,Mensing,26.1
CA-20,2014,Farr,74.3,Kabat,25.7
CA-21,2014,Renteria,41.5,Valadao,58.5
CA-22,2014,Aguilera-Marrero,27.7,Nunes,72.3
CA-23,2014,Garcia,24.6,McCarthy,75.4
CA-24,2014,Capps,51.7,Mitchum,48.3
CA-25,2014,Strickland,46.6,Knight,53.4
CA-26,2014,Brownley,50.8,Gorell,49.2
CA-27,2014,Chu,58.9,Orswell,41.1
CA-28,2014,Schiff,76,Stokes,24
CA-29,2014,Cardenas,74.2,Leader,25.8
CA-3,2014,Garamendi,52.2,Logue,47.8
CA-30,2014,Sherman,65,Reed,35
CA-31,2014,Aguilar,51.4,Chabot,48.6
CA-32,2014,Napolitano,59.3,Alas,40.7
CA-33,2014,Lieu,58.6,Carr,41.4
CA-34,2014,Edwards,26.9,Becerra,73.1
CA-35,2014,Gagnier,36.7,Torres,63.3
CA-36,2014,Ruiz,53.8,Nestande,46.2
CA-37,2014,Bass,83.9,King,16.1
CA-38,2014,Sanchez,58.7,Campos,41.3
CA-39,2014,Anderson,31.2,Royce,68.8
CA-4,2014,McClintock,60.5,Moore,39.5
CA-40,2014,Sanchez,38.4,Roybal-Allard,61.6
CA-41,2014,Takano,56,Adams,44
CA-42,2014,Sheridan,34.1,Calvert,65.9
CA-43,2014,Waters,70,Wood,30
CA-44,2014,Hahn,86.9,Shbeita,13.1
CA-45,2014,Leavens,34.8,Walters,65.2
CA-46,2014,Sanchez,58.6,Nick,41.4
CA-47,2014,Lowenthal,55.2,Whallon,44.8
CA-48,2014,Savary,35.8,Rohrabacher,64.2
CA-49,2014,Peiser,39.8,Issa,60.2
CA-5,2014,Thompson,75.8,Hinton,24.2
CA-50,2014,Kimber,28.6,Hunter,71.4
CA-51,2014,Vargas,68.8,Meade,31.2
CA-52,2014,Peters,51.6,DeMaio,48.4
CA-53,2014,Davis,58.7,Wilske,41.3
CA-6,2014,Matsui,72.4,McCray,27.6
CA-7,2014,Bera,50.4,Ose,49.6
CA-8,2014,Conaway,32.2,Cook,67.8
CA-9,2014,McNerney,52.2,Amador,47.8
CO-1,2014,DeGette,65.7,Walsh,29.2
CO-2,2014,Polis,56.5,Leing,43.5
CO-3,2014,Tapia,35.7,Tipton,58.1
CO-4,2014,Meyers,29.2,Buck,64.8
CO-5,2014,Halter,40.2,Lamborn,59.8
CO-6,2014,Romanoff,42.9,Coffman,52
CO-7,2014,Perlmutter,54.9,Ytterberg,45.1
CT-1,2014,Larson,62.2,Corey,36.1
CT-2,2014,Courtney,62.3,Hopkins-Cavanagh,35.6
CT-3,2014,DeLauro,67.1,Brown,32.9
CT-4,2014,Himes,53.7,Debicella,46.3
CT-5,2014,Esty,53,Greenberg,46
DE-1,2014,Carney,59.3,Izzo,36.8
FL-1,2014,Bryan,23.4,Miller,70.2
FL-10,2014,McKenna,38.4,Webster,61.6
FL-11,2014,Koller,33.3,Nugent,66.7
FL-12,2014,None,0,Bilirakis,100
FL-13,2014,Jolly,75.3,Overby,24.7
FL-14,2014,Castor,100,None,0
FL-15,2014,Cohn,39.7,Ross,60.3
FL-16,2014,Lawrence,38.4,Buchanan,61.6
FL-17,2014,Bronson,36.8,Rooney,63.2
FL-18,2014,Murphy,59.8,Domino,40.2
FL-19,2014,Freeman,32.7,Clawson,64.6
FL-2,2014,Graham,50.4,Southerland,49.6
FL-20,2014,Hastings,81.6,Bonner,18.4
FL-21,2014,Deutch,100,None,0
FL-22,2014,Frankel,58,Spain,42
FL-23,2014,Wasserman Schultz,62.6,Kaufman,37.4
FL-24,2014,Wilson,86.2,Neree,10.2
FL-25,2014,None,0,Diaz-Balart,100
FL-26,2014,Garcia,48.5,Curbelo,51.5
FL-27,2014,None,0,Ros-Lehtinen,100
FL-3,2014,Wheeler,32.3,Yoho,65
FL-4,2014,Crenshaw,78.3,Koniz,6
FL-5,2014,Brown,65.5,Smith,34.5
FL-6,2014,Cox,37.5,DeSantis,62.5
FL-7,2014,Neuman,32.1,Mica,63.6
